time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,precipType,precipAccumulation,pressure,ozone,isocal,id_poi,hour,day
1483225200,Overcast,cloudy,0.0,0.0,3.072222222222223,0.16111111111111065,34.69,0.89,6.79,9.05,202.0,0.89,0.0,6.216,,,,,52-07T00,1,0,2017-01-01
1483228800,Mostly Cloudy,partly-cloudy-night,0.0,0.0,3.238888888888888,0.56111111111111,34.2,0.87,6.24,9.05,211.0,0.75,0.0,5.173,,,,,52-07T01,1,1,2017-01-01
1483232400,Mostly Cloudy,partly-cloudy-night,0.0,0.0,2.938888888888888,-0.04999999999999992,32.87,0.84,6.94,10.44,210.0,0.75,0.0,4.83,,,,,52-07T02,1,2,2017-01-01
1483236000,Overcast,cloudy,0.0,0.0,2.738888888888889,-0.36666666666666675,32.46,0.84,7.17,9.9,218.0,0.89,0.0,6.216,,,,,52-07T03,1,3,2017-01-01
1483239600,Overcast,cloudy,0.0,0.0,2.8388888888888886,-0.14444444444444532,32.62,0.84,6.86,7.66,216.0,0.89,0.0,6.216,,,,,52-07T04,1,4,2017-01-01
1483243200,Overcast,cloudy,0.0,0.0,2.7111111111111126,0.07222222222222364,32.79,0.85,5.88,7.68,216.0,0.89,0.0,6.216,,,,,52-07T05,1,5,2017-01-01
1483246800,Overcast,cloudy,0.0,0.0,2.6111111111111125,-0.12777777777777802,32.34,0.84,6.08,7.71,218.0,0.89,0.0,6.216,,,,,52-07T06,1,6,2017-01-01
1483250400,Overcast,cloudy,0.0,0.0,2.411111111111113,-0.2777777777777778,32.08,0.84,5.86,9.38,210.0,0.89,0.0,6.216,,,,,52-07T07,1,7,2017-01-01
1483254000,Mostly Cloudy,partly-cloudy-night,0.0,0.0,1.3722222222222216,-1.9277777777777771,30.23,0.84,6.92,8.14,205.0,0.75,0.0,6.216,,,,,52-07T08,1,8,2017-01-01
1483257600,Mostly Cloudy,partly-cloudy-day,0.0,0.0,1.0777777777777766,-2.144444444444444,29.95,0.85,6.55,9.2,216.0,0.75,0.0,6.216,,,,,52-07T09,1,9,2017-01-01
1483261200,Mostly Cloudy,partly-cloudy-day,0.0,0.0,1.1999999999999982,-1.9611111111111117,29.75,0.84,6.47,8.15,216.0,0.75,0.0,6.216,,,,,52-07T10,1,10,2017-01-01
1483264800,Mostly Cloudy,partly-cloudy-day,0.0,0.0,2.0222222222222226,-1.0777777777777784,29.74,0.79,6.72,8.07,210.0,0.75,0.0,6.216,,,,,52-07T11,1,11,2017-01-01
1483268400,Mostly Cloudy,partly-cloudy-day,0.0,0.0,2.8388888888888886,0.07222222222222364,30.75,0.78,6.27,8.76,208.0,0.75,0.0,6.216,,,,,52-07T12,1,12,2017-01-01
1483272000,Mostly Cloudy,partly-cloudy-day,0.0,0.0,3.622222222222224,1.1999999999999982,30.91,0.74,5.75,9.05,221.0,0.75,0.0,6.216,,,,,52-07T13,1,13,2017-01-01
1483275600,Mostly Cloudy,partly-cloudy-day,0.0,0.0,3.633333333333333,1.2388888888888872,30.66,0.73,5.7,8.05,222.0,0.75,0.0,6.216,,,,,52-07T14,1,14,2017-01-01
1483279200,Mostly Cloudy,partly-cloudy-day,0.0,0.0,3.3722222222222222,0.7166666666666662,30.2,0.73,6.24,9.08,214.0,0.75,0.0,6.216,,,,,52-07T15,1,15,2017-01-01
1483282800,Mostly Cloudy,partly-cloudy-night,0.0,0.0,3.2833333333333314,0.7055555555555573,30.84,0.75,5.99,7.81,211.0,0.75,0.0,6.216,,,,,52-07T16,1,16,2017-01-01
1483286400,Mostly Cloudy,partly-cloudy-night,0.0,0.0,2.9666666666666686,0.7166666666666662,30.33,0.76,5.07,7.81,208.0,0.75,0.0,6.216,,,,,52-07T17,1,17,2017-01-01
1483290000,Mostly Cloudy,partly-cloudy-night,0.0,0.0,2.411111111111113,0.11666666666666714,29.51,0.76,4.95,7.17,203.0,0.75,0.0,6.216,,,,,52-07T18,1,18,2017-01-01
1483293600,Mostly Cloudy,partly-cloudy-night,0.0,0.0,2.2666666666666657,-0.344444444444445,29.3,0.76,5.6,9.15,203.0,0.75,0.0,6.216,,,,,52-07T19,1,19,2017-01-01
1483297200,Mostly Cloudy,partly-cloudy-night,0.0,0.0,1.7666666666666666,-0.2499999999999996,28.55,0.77,4.19,6.22,204.0,0.75,0.0,6.216,,,,,52-07T20,1,20,2017-01-01
1483300800,Mostly Cloudy,partly-cloudy-night,0.0,0.0,1.5277777777777777,-0.7388888888888879,28.23,0.77,4.6,6.61,206.0,0.75,0.0,6.216,,,,,52-07T21,1,21,2017-01-01
1483304400,Mostly Cloudy,partly-cloudy-night,0.0,0.0,0.9166666666666659,-2.000000000000001,26.77,0.76,5.72,7.6,225.0,0.75,0.0,6.216,,,,,52-07T22,1,22,2017-01-01
1483308000,Mostly Cloudy,partly-cloudy-night,0.0,0.0,0.19444444444444522,-2.983333333333334,26.7,0.79,6.02,8.52,234.0,0.75,0.0,6.216,,,,,52-07T23,1,23,2017-01-01
